trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250112-230000-001-001-1,O-20250113-010000-001-001-2,SELL,FLAT,0.000,3.062,1736722800000000000,2025-01-12 23:00:00+00:00,1736730000000000000,2025-01-13 01:00:00+00:00,7200000000000,3265.7,3260.15,['7.99286108 USDT'],0.0017,9.00123892 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250115-140000-001-001-3,O-20250118-090000-001-001-4,BUY,FLAT,0.000,3.006,1736949600000000000,2025-01-15 14:00:00+00:00,1737190800000000000,2025-01-18 09:00:00+00:00,241200000000000,3328.36,3269.83,['7.93366365 USDT'],-0.01759,-183.87484365 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250119-220000-001-001-5,O-20250119-230000-001-001-6,SELL,FLAT,0.000,3.035,1737324000000000000,2025-01-19 22:00:00+00:00,1737327600000000000,2025-01-19 23:00:00+00:00,3600000000000,3265.88,3214.15,['7.86675642 USDT'],0.01584,149.13379358 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250129-200000-001-001-7,O-20250129-210000-001-001-8,SELL,FLAT,0.000,3.186,1738180800000000000,2025-01-29 20:00:00+00:00,1738184400000000000,2025-01-29 21:00:00+00:00,3600000000000,3134.6,3138.97,['7.99503761 USDT'],-0.00139,-21.91785761 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250131-190000-001-001-9,O-20250209-230000-001-001-10,SELL,FLAT,0.000,2.989,1738350000000000000,2025-01-31 19:00:00+00:00,1739142000000000000,2025-02-09 23:00:00+00:00,792000000000000,3337.3,2626.07,['7.12980517 USDT'],0.21312,2118.73666483 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250210-150000-001-001-11,O-20250210-180000-001-001-12,SELL,FLAT,0.000,4.153,1739199600000000000,2025-02-10 15:00:00+00:00,1739210400000000000,2025-02-10 18:00:00+00:00,10800000000000,2657.31,2681.77,['8.86927969 USDT'],-0.0092,-110.45165969 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250212-140000-001-001-13,O-20250212-170000-001-001-14,SELL,FLAT,0.000,4.226,1739368800000000000,2025-02-12 14:00:00+00:00,1739379600000000000,2025-02-12 17:00:00+00:00,10800000000000,2598.43,2672.09,['8.90928701 USDT'],-0.02835,-320.19644701 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250214-190000-001-001-15,O-20250217-150000-001-001-16,SELL,FLAT,0.000,3.954,1739559600000000000,2025-02-14 19:00:00+00:00,1739804400000000000,2025-02-17 15:00:00+00:00,244800000000000,2736.68,2754.74,['8.68522987 USDT'],-0.0066,-80.09446987 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250217-160000-001-001-17,O-20250221-100000-001-001-18,SELL,FLAT,0.000,3.957,1739808000000000000,2025-02-17 16:00:00+00:00,1740132000000000000,2025-02-21 10:00:00+00:00,324000000000000,2724.42,2799.63,['8.74346634 USDT'],-0.02761,-306.34943634 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250221-150000-001-001-19,O-20250223-140000-001-001-20,SELL,FLAT,0.000,3.904,1740150000000000000,2025-02-21 15:00:00+00:00,1740319200000000000,2025-02-23 14:00:00+00:00,169200000000000,2722.25,2789.2,['8.60668032 USDT'],-0.02459,-269.97948032 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250302-170000-001-001-21,O-20250302-180000-001-001-22,BUY,FLAT,0.000,4.231,1740934800000000000,2025-03-02 17:00:00+00:00,1740938400000000000,2025-03-02 18:00:00+00:00,3600000000000,2479.82,2473.69,['8.38332033 USDT'],-0.00247,-34.31935033 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250307-170000-001-001-23,O-20250307-190000-001-001-24,SELL,FLAT,0.000,4.847,1741366800000000000,2025-03-07 17:00:00+00:00,1741374000000000000,2025-03-07 19:00:00+00:00,7200000000000,2161.23,2177.47,['8.41187156 USDT'],-0.00751,-87.12715156 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250316-170000-001-001-25,O-20250316-200000-001-001-26,BUY,FLAT,0.000,5.463,1742144400000000000,2025-03-16 17:00:00+00:00,1742155200000000000,2025-03-16 20:00:00+00:00,10800000000000,1909.33,1893.67,['8.31031560 USDT'],-0.0082,-93.86089560 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250319-120000-001-001-27,O-20250319-130000-001-001-28,BUY,FLAT,0.000,5.184,1742385600000000000,2025-03-19 12:00:00+00:00,1742389200000000000,2025-03-19 13:00:00+00:00,3600000000000,2003.11,2015.78,['8.33357031 USDT'],0.00633,57.34770969 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250320-160000-001-001-29,O-20250321-130000-001-001-30,BUY,FLAT,0.000,5.318,1742486400000000000,2025-03-20 16:00:00+00:00,1742562000000000000,2025-03-21 13:00:00+00:00,75600000000000,1957.9,1951.45,['8.31596932 USDT'],-0.00329,-42.61706932 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250323-120000-001-001-31,O-20250324-040000-001-001-32,SELL,FLAT,0.000,5.175,1742731200000000000,2025-03-23 12:00:00+00:00,1742788800000000000,2025-03-24 04:00:00+00:00,57600000000000,2008.1,2039.57,['8.37867690 USDT'],-0.01567,-171.23592690 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250324-050000-001-001-33,O-20250326-150000-001-001-34,BUY,FLAT,0.000,5.032,1742792400000000000,2025-03-24 05:00:00+00:00,1743001200000000000,2025-03-26 15:00:00+00:00,208800000000000,2047.96,2011.21,['8.17029738 USDT'],-0.01794,-193.09629738 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250327-140000-001-001-35,O-20250330-190000-001-001-36,SELL,FLAT,0.000,5.042,1743084000000000000,2025-03-27 14:00:00+00:00,1743361200000000000,2025-03-30 19:00:00+00:00,277200000000000,2024.81,1813.38,['7.74086159 USDT'],0.10442,1058.28919841 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250401-090000-001-001-37,O-20250401-120000-001-001-38,BUY,FLAT,0.000,5.698,1743498000000000000,2025-04-01 09:00:00+00:00,1743508800000000000,2025-04-01 12:00:00+00:00,10800000000000,1884.49,1864.85,['8.54549573 USDT'],-0.01042,-120.45421573 USDT,True
