strategy_id,symbol,exchange,instrument_id,position_type,open_datetime,close_datetime,entry_price,exit_price,quantity,realized_pnl,fees,duration_seconds,return_pct,order_ids
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-01-12 23:00:00+00:00,2025-01-13 01:00:00+00:00,3265.7,3260.15,0.0,9.00123892,7.99286108,7200.0,0.1699482499923355,"BINANCE-1-001,BINANCE-1-002"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-01-15 14:00:00+00:00,2025-01-18 09:00:00+00:00,3328.36,3269.83,0.0,-183.87484365,7.933663650000001,241200.0,-1.758523717386351,"BINANCE-1-003,BINANCE-1-004"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-01-19 22:00:00+00:00,2025-01-19 23:00:00+00:00,3265.88,3214.15,0.0,149.13379358,7.86675642,3600.0,1.5839528702830452,"BINANCE-1-005,BINANCE-1-006"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-01-29 20:00:00+00:00,2025-01-29 21:00:00+00:00,3134.6,3138.97,0.0,-21.91785761,7.995037610000001,3600.0,-0.1394117271741102,"BINANCE-1-007,BINANCE-1-008"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-01-31 19:00:00+00:00,2025-02-09 23:00:00+00:00,3337.3,2626.07,0.0,2118.73666483,7.12980517,792000.0,21.311539268270764,"BINANCE-1-009,BINANCE-1-010"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-02-10 15:00:00+00:00,2025-02-10 18:00:00+00:00,2657.31,2681.77,0.0,-110.45165969,8.869279689999999,10800.0,-0.9204797332641013,"BINANCE-1-011,BINANCE-1-012"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-02-12 14:00:00+00:00,2025-02-12 17:00:00+00:00,2598.43,2672.09,0.0,-320.19644701,8.90928701,10800.0,-2.834788699329982,"BINANCE-1-013,BINANCE-1-014"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-02-14 19:00:00+00:00,2025-02-17 15:00:00+00:00,2736.68,2754.74,0.0,-80.09446987,8.68522987,244800.0,-0.6599237031731819,"BINANCE-1-015,BINANCE-1-016"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-02-17 16:00:00+00:00,2025-02-21 10:00:00+00:00,2724.42,2799.63,0.0,-306.34943634,8.74346634,324000.0,-2.760587574603046,"BINANCE-1-017,BINANCE-1-018"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-02-21 15:00:00+00:00,2025-02-23 14:00:00+00:00,2722.25,2789.2,0.0,-269.97948032,8.60668032,169200.0,-2.459362659564701,"BINANCE-1-019,BINANCE-1-020"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-03-02 17:00:00+00:00,2025-03-02 18:00:00+00:00,2479.82,2473.69,0.0,-34.31935033,8.38332033,3600.0,-0.2471953609536226,"BINANCE-1-021,BINANCE-1-022"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-03-07 17:00:00+00:00,2025-03-07 19:00:00+00:00,2161.23,2177.47,0.0,-87.12715156,8.41187156,7200.0,-0.7514239576537296,"BINANCE-1-023,BINANCE-1-024"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-03-16 17:00:00+00:00,2025-03-16 20:00:00+00:00,1909.33,1893.67,0.0,-93.8608956,8.3103156,10800.0,-0.8201829961295259,"BINANCE-1-025,BINANCE-1-026"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-03-19 12:00:00+00:00,2025-03-19 13:00:00+00:00,2003.11,2015.78,0.0,57.34770969,8.33357031,3600.0,0.6325164369405556,"BINANCE-1-027,BINANCE-1-028"
