total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
20000.00000000,0.00000000,20000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
19996.00017064,349.98506900,19646.01510164,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '349.98506900', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20009.00123892,0.00000000,20009.00123892,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20004.99921886,350.17675560,19654.82246326,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '350.17675560', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19825.12639527,0.00000000,19825.12639527,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19821.16161695,346.91810300,19474.24351395,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '346.91810300', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19974.26018885,0.00000000,19974.26018885,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19970.26545461,349.53924600,19620.72620861,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '349.53924600', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19952.34233124,0.00000000,19952.34233124,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19948.35225536,349.13163950,19599.22061586,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '349.13163950', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22071.07899607,0.00000000,22071.07899607,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22066.66467270,386.25329505,21680.41137765,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '386.25329505', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21960.62733638,0.00000000,21960.62733638,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21956.23495031,384.33378130,21571.90116901,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '384.33378130', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21640.43088937,0.00000000,21640.43088937,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21636.10255628,378.72914520,21257.37341108,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '378.72914520', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21560.33641950,0.00000000,21560.33641950,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21556.02420752,377.31854790,21178.70565962,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '377.31854790', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21253.98698316,0.00000000,21253.98698316,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21249.73591756,371.96824000,20877.76767756,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '371.96824000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20984.00750284,0.00000000,20984.00750284,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20979.81065547,367.22414470,20612.58651077,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '367.22414470', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20949.68815251,0.00000000,20949.68815251,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20945.49795979,366.64186335,20578.85609644,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '366.64186335', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20862.56100095,0.00000000,20862.56100095,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20858.38873303,365.07344265,20493.31529038,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '365.07344265', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20768.70010535,0.00000000,20768.70010535,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20764.54645645,363.44427840,20401.10217805,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '363.44427840', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20826.04781504,0.00000000,20826.04781504,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20821.88297016,364.42392700,20457.45904316,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '364.42392700', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20783.43074572,0.00000000,20783.43074572,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20779.27397872,363.71711250,20415.55686622,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '363.71711250', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20612.19481882,0.00000000,20612.19481882,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20608.07268493,360.68671520,20247.38596973,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '360.68671520', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20419.09852144,0.00000000,20419.09852144,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20415.01488463,357.31822070,20057.69666393,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '357.31822070', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21477.38771985,0.00000000,21477.38771985,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21473.09259024,375.82384070,21097.26874954,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '375.82384070', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21356.93350412,0.00000000,21356.93350412,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21352.66226582,373.73335160,20978.92891422,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '373.73335160', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21218.52219584,0.00000000,21218.52219584,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21214.27879052,371.29796550,20842.98082502,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '371.29796550', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21025.06191540,0.00000000,21025.06191540,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21020.85705163,367.92557970,20652.93147193,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '367.92557970', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21026.91582077,0.00000000,21026.91582077,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21022.71015990,367.99532630,20654.71483360,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '367.99532630', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21305.70095168,0.00000000,21305.70095168,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21301.44004194,372.82960260,20928.61043934,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '372.82960260', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21143.55142568,0.00000000,21143.55142568,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21139.32281380,370.00353915,20769.31927465,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '370.00353915', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20910.25369168,0.00000000,20910.25369168,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20906.07154952,365.93743900,20540.13411052,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '365.93743900', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21057.22221564,0.00000000,21057.22221564,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21053.01094440,368.48623385,20684.52471055,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '368.48623385', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20919.57428367,0.00000000,20919.57428367,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20915.39051030,366.08017005,20549.31034025,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '366.08017005', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20848.57103266,0.00000000,20848.57103266,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20844.40134546,364.84762965,20479.55371581,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '364.84762965', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20771.78092892,0.00000000,20771.78092892,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20767.62649436,363.51302400,20404.11347036,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '363.51302400', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20767.32299956,0.00000000,20767.32299956,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20763.16981844,363.40334835,20399.76647009,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '363.40334835', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20574.76705695,0.00000000,20574.76705695,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20570.65226311,360.04446135,20210.60780176,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '360.04446135', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20452.48874802,0.00000000,20452.48874802,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20448.39808922,357.93264500,20090.46544422,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '357.93264500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20708.44354262,0.00000000,20708.44354262,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20704.30186915,362.39642880,20341.90544035,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '362.39642880', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21429.14591337,0.00000000,21429.14591337,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21424.85981341,375.03374650,21049.82606691,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '375.03374650', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20799.17377289,0.00000000,20799.17377289,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
