total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
20000.00000000,0.00000000,20000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
19996.00001000,349.99912500,19646.00088500,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '349.99912500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19880.21532400,0.00000000,19880.21532400,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19876.23926976,347.90474565,19528.33452411,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '347.90474565', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19573.13679280,0.00000000,19573.13679280,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19569.22217725,342.52886045,19226.69331680,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '342.52886045', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19522.25428728,0.00000000,19522.25428728,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19518.34983331,341.63972220,19176.71011111,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '341.63972220', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19296.12410280,0.00000000,19296.12410280,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19292.26488404,337.68164150,18954.58324254,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '337.68164150', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19171.90634418,0.00000000,19171.90634418,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19168.07195804,335.50878760,18832.56317044,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '335.50878760', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19377.26931510,0.00000000,19377.26931510,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19373.39383811,339.10423680,19034.28960131,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '339.10423680', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19157.67813891,0.00000000,19157.67813891,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
