trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200103-150000-001-001-1,O-20200103-170000-001-001-2,SELL,FLAT,0.000,75.500,1578063600000000000,2020-01-03 15:00:00+00:00,1578070800000000000,2020-01-03 17:00:00+00:00,7200000000000,132.45,133.93,['8.04467600 USDT'],-0.01117,-119.78467600 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200105-220000-001-001-3,O-20200106-020000-001-001-4,SELL,FLAT,0.000,73.647,1578261600000000000,2020-01-05 22:00:00+00:00,1578276000000000000,2020-01-06 02:00:00+00:00,14400000000000,134.97,139.03,['8.07171120 USDT'],-0.03008,-307.07853120 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200106-140000-001-001-5,O-20200106-210000-001-001-6,SELL,FLAT,0.000,69.413,1578319200000000000,2020-01-06 14:00:00+00:00,1578344400000000000,2020-01-06 21:00:00+00:00,25200000000000,140.99,141.61,['7.84644552 USDT'],-0.0044,-50.88250552 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200111-180000-001-001-7,O-20200111-220000-001-001-8,BUY,FLAT,0.000,66.588,1578765600000000000,2020-01-11 18:00:00+00:00,1578780000000000000,2020-01-11 22:00:00+00:00,14400000000000,146.59,143.31,['7.72154448 USDT'],-0.02238,-226.13018448 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200114-130000-001-001-9,O-20200114-140000-001-001-10,SELL,FLAT,0.000,62.609,1579006800000000000,2020-01-14 13:00:00+00:00,1579010400000000000,2020-01-14 14:00:00+00:00,3600000000000,154.1,155.96,['7.76501862 USDT'],-0.01207,-124.21775862 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200114-150000-001-001-11,O-20200114-160000-001-001-12,BUY,FLAT,0.000,61.417,1579014000000000000,2020-01-14 15:00:00+00:00,1579017600000000000,2020-01-14 16:00:00+00:00,3600000000000,156.08,159.55,['7.75401908 USDT'],0.02223,205.36297092 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200114-190000-001-001-13,O-20200115-000000-001-001-14,SELL,FLAT,0.000,58.496,1579028400000000000,2020-01-14 19:00:00+00:00,1579046400000000000,2020-01-15 00:00:00+00:00,18000000000000,165.63,169.25,['7.83565619 USDT'],-0.02186,-219.59117619 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200117-070000-001-001-15,O-20200117-080000-001-001-16,SELL,FLAT,0.000,55.941,1579244400000000000,2020-01-17 07:00:00+00:00,1579248000000000000,2020-01-17 08:00:00+00:00,3600000000000,171.23,171.8,['7.67577649 USDT'],-0.00333,-39.56214649 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200118-170000-001-001-17,O-20200118-220000-001-001-18,SELL,FLAT,0.000,54.620,1579366800000000000,2020-01-18 17:00:00+00:00,1579384800000000000,2020-01-18 22:00:00+00:00,18000000000000,175.01,177.18,['7.69464712 USDT'],-0.0124,-126.22004712 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20200121-220000-001-001-19,O-20200122-090000-001-001-20,BUY,FLAT,0.000,56.050,1579644000000000000,2020-01-21 22:00:00+00:00,1579683600000000000,2020-01-22 09:00:00+00:00,39600000000000,169.42,169.11,['7.58984260 USDT'],-0.00183,-24.96534260 USDT,True
